URL                                                                 | Module                                             | Name                                                | Decorator
/admin/igs_app_base/menuopc/<path:object_id>/                       | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_base/menuopc/<path:object_id>/change/                | django.contrib.admin.options.change_view           | admin:igs_app_base_menuopc_change                   | 
/admin/igs_app_base/menuopc/<path:object_id>/delete/                | django.contrib.admin.options.delete_view           | admin:igs_app_base_menuopc_delete                   | 
/admin/igs_app_base/menuopc/<path:object_id>/history/               | django.contrib.admin.options.history_view          | admin:igs_app_base_menuopc_history                  | 
/admin/igs_app_base/menuopc/add/                                    | django.contrib.admin.options.add_view              | admin:igs_app_base_menuopc_add                      | 
/admin/igs_app_base/parametrosistema/                               | django.contrib.admin.options.changelist_view       | admin:igs_app_base_parametrosistema_changelist      | 
/admin/igs_app_base/parametrosistema/<path:object_id>/              | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_base/parametrosistema/<path:object_id>/change/       | django.contrib.admin.options.change_view           | admin:igs_app_base_parametrosistema_change          | 
/admin/igs_app_base/parametrosistema/<path:object_id>/delete/       | django.contrib.admin.options.delete_view           | admin:igs_app_base_parametrosistema_delete          | 
/admin/igs_app_base/parametrosistema/<path:object_id>/history/      | django.contrib.admin.options.history_view          | admin:igs_app_base_parametrosistema_history         | 
/admin/igs_app_base/parametrosistema/add/                           | django.contrib.admin.options.add_view              | admin:igs_app_base_parametrosistema_add             | 
/admin/igs_app_base/parametrousuario/                               | django.contrib.admin.options.changelist_view       | admin:igs_app_base_parametrousuario_changelist      | 
/admin/igs_app_base/parametrousuario/<path:object_id>/              | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_base/parametrousuario/<path:object_id>/change/       | django.contrib.admin.options.change_view           | admin:igs_app_base_parametrousuario_change          | 
/admin/igs_app_base/parametrousuario/<path:object_id>/delete/       | django.contrib.admin.options.delete_view           | admin:igs_app_base_parametrousuario_delete          | 
/admin/igs_app_base/parametrousuario/<path:object_id>/history/      | django.contrib.admin.options.history_view          | admin:igs_app_base_parametrousuario_history         | 
/admin/igs_app_base/parametrousuario/add/                           | django.contrib.admin.options.add_view              | admin:igs_app_base_parametrousuario_add             | 
/admin/igs_app_base/parametrousuariovalor/                          | django.contrib.admin.options.changelist_view       | admin:igs_app_base_parametrousuariovalor_changelist | 
/admin/igs_app_base/parametrousuariovalor/<path:object_id>/         | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_base/parametrousuariovalor/<path:object_id>/change/  | django.contrib.admin.options.change_view           | admin:igs_app_base_parametrousuariovalor_change     | 
/admin/igs_app_base/parametrousuariovalor/<path:object_id>/delete/  | django.contrib.admin.options.delete_view           | admin:igs_app_base_parametrousuariovalor_delete     | 
/admin/igs_app_base/parametrousuariovalor/<path:object_id>/history/ | django.contrib.admin.options.history_view          | admin:igs_app_base_parametrousuariovalor_history    | 
/admin/igs_app_base/parametrousuariovalor/add/                      | django.contrib.admin.options.add_view              | admin:igs_app_base_parametrousuariovalor_add        | 
/admin/igs_app_base/userprofile/                                    | django.contrib.admin.options.changelist_view       | admin:igs_app_base_userprofile_changelist           | 
/admin/igs_app_base/userprofile/<path:object_id>/                   | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_base/userprofile/<path:object_id>/change/            | django.contrib.admin.options.change_view           | admin:igs_app_base_userprofile_change               | 
/admin/igs_app_base/userprofile/<path:object_id>/delete/            | django.contrib.admin.options.delete_view           | admin:igs_app_base_userprofile_delete               | 
/admin/igs_app_base/userprofile/<path:object_id>/history/           | django.contrib.admin.options.history_view          | admin:igs_app_base_userprofile_history              | 
/admin/igs_app_base/userprofile/add/                                | django.contrib.admin.options.add_view              | admin:igs_app_base_userprofile_add                  | 
/admin/igs_app_catalogo/bootstrapcolor/                             | django.contrib.admin.options.changelist_view       | admin:igs_app_catalogo_bootstrapcolor_changelist    | 
/admin/igs_app_catalogo/bootstrapcolor/<path:object_id>/            | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_catalogo/bootstrapcolor/<path:object_id>/change/     | django.contrib.admin.options.change_view           | admin:igs_app_catalogo_bootstrapcolor_change        | 
/admin/igs_app_catalogo/bootstrapcolor/<path:object_id>/delete/     | django.contrib.admin.options.delete_view           | admin:igs_app_catalogo_bootstrapcolor_delete        | 
/admin/igs_app_catalogo/bootstrapcolor/<path:object_id>/history/    | django.contrib.admin.options.history_view          | admin:igs_app_catalogo_bootstrapcolor_history       | 
/admin/igs_app_catalogo/bootstrapcolor/add/                         | django.contrib.admin.options.add_view              | admin:igs_app_catalogo_bootstrapcolor_add           | 
/admin/igs_app_catalogo/tipoparametro/                              | django.contrib.admin.options.changelist_view       | admin:igs_app_catalogo_tipoparametro_changelist     | 
/admin/igs_app_catalogo/tipoparametro/<path:object_id>/             | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_catalogo/tipoparametro/<path:object_id>/change/      | django.contrib.admin.options.change_view           | admin:igs_app_catalogo_tipoparametro_change         | 
/admin/igs_app_catalogo/tipoparametro/<path:object_id>/delete/      | django.contrib.admin.options.delete_view           | admin:igs_app_catalogo_tipoparametro_delete         | 
/admin/igs_app_catalogo/tipoparametro/<path:object_id>/history/     | django.contrib.admin.options.history_view          | admin:igs_app_catalogo_tipoparametro_history        | 
/admin/igs_app_catalogo/tipoparametro/add/                          | django.contrib.admin.options.add_view              | admin:igs_app_catalogo_tipoparametro_add            | 
/admin/igs_app_favorito/favorito/                                   | django.contrib.admin.options.changelist_view       | admin:igs_app_favorito_favorito_changelist          | 
/admin/igs_app_favorito/favorito/<path:object_id>/                  | django.views.generic.base.RedirectView             |                                                     | 
/admin/igs_app_favorito/favorito/<path:object_id>/change/           | django.contrib.admin.options.change_view           | admin:igs_app_favorito_favorito_change              | 
/admin/igs_app_favorito/favorito/<path:object_id>/delete/           | django.contrib.admin.options.delete_view           | admin:igs_app_favorito_favorito_delete              | 
/admin/igs_app_favorito/favorito/<path:object_id>/history/          | django.contrib.admin.options.history_view          | admin:igs_app_favorito_favorito_history             | 
/admin/igs_app_favorito/favorito/add/                               | django.contrib.admin.options.add_view              | admin:igs_app_favorito_favorito_add                 | 
/admin/jsi18n/                                                      | django.contrib.admin.sites.i18n_javascript         | admin:jsi18n                                        | 
/admin/login/                                                       | django.contrib.admin.sites.login                   | admin:login                                         | 
/admin/logout/                                                      | django.contrib.admin.sites.logout                  | admin:logout                                        | 
/admin/password_change/                                             | django.contrib.admin.sites.password_change         | admin:password_change                               | 
/admin/password_change/done/                                        | django.contrib.admin.sites.password_change_done    | admin:password_change_done                          | 
/admin/r/<int:content_type_id>/<path:object_id>/                    | django.contrib.contenttypes.views.shortcut         | admin:view_on_site                                  | 
/administracion/                                                    | igs_app_base.vw_app.Administracion                 | idx_app_administracion                              | 
